timestamp,cpu,mem free,disk,eth
11:08:15,11,476M,5%
11:08:20,14,476M,4%,0%
11:08:25,17,475M,9%,0%
11:08:30,15,475M,7%,0%
11:08:35,62,474M,3%,0%
11:08:40,15,474M,5%,0%
11:08:45,15,474M,4%,0%
11:08:50,16,474M,6%,0%
11:08:55,17,474M,2%,0%
11:09:00,73,527M,7%,0%
11:09:05,69,526M,7%,0%
11:09:10,11,526M,3%,0%
11:09:15,12,526M,4%,0%
11:09:20,12,526M,4%,0%
11:09:25,14,526M,5%,0%
11:09:30,14,526M,3%,0%
11:09:35,73,526M,8%,0%
