"@timestamp","host.name","suricata.eve.flow_id","source.ip","source.port","destination.ip","destination.port","source.geo.country_iso_code","destination.geo.country_iso_code"
"Oct 28, 2022 @ 14:27:52.400",soniot3,1882143970565676,"192.168.28.55",39555,"192.168.28.63",22,"-","-"
"Oct 28, 2022 @ 14:27:42.799",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:36.784",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:35.941",soniot3,1545976879210053,"192.168.28.55",40781,"192.168.28.63",22,"-","-"
"Oct 28, 2022 @ 14:27:33.782",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:32.779",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:31.780",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:30.780",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:28.764",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:27.674",soniot3,2110421474230345,"192.168.28.15",41594,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:27:25.984",soniot3,435538846887568,"192.168.28.15",36534,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:27:23.750",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:22.745",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:21.690",soniot3,926651184155248,"192.168.28.55",38555,"192.168.28.63",22,"-","-"
"Oct 28, 2022 @ 14:27:21.690",soniot3,926651184155248,"192.168.28.55",38555,"192.168.28.63",22,"-","-"
"Oct 28, 2022 @ 14:27:20.737",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:19.546",soniot3,1504955439530890,"127.0.0.1",47252,"127.0.0.1",9200,"-","-"
"Oct 28, 2022 @ 14:27:19.536",soniot3,1504955439530890,"127.0.0.1",47252,"127.0.0.1",9200,"-","-"
"Oct 28, 2022 @ 14:27:19.536",soniot3,1504955439530890,"127.0.0.1",47252,"127.0.0.1",9200,"-","-"
"Oct 28, 2022 @ 14:27:19.536",soniot3,1504955439530890,"127.0.0.1",47252,"127.0.0.1",9200,"-","-"
