timestamp,cpu,mem free,disk,eth
15:09:47,17,721M,6%,0%,0%
15:09:52,63,718M,2%,5%,5%
15:09:57,99,719M,4%,8%,8%
15:10:02,115,715M,4%,7%,7%
15:10:07,124,719M,4%,6%,6%
15:10:12,118,719M,4%,7%,7%
15:10:17,111,719M,2%,8%,8%
15:10:22,104,718M,3%,8%,8%
15:10:27,98,718M,3%,9%,9%
15:10:32,103,719M,12%,9%,9%
15:10:37,105,719M,4%,9%,9%
15:10:42,102,719M,4%,8%,8%
15:10:47,99,719M,5%,8%,8%
15:10:52,99,719M,3%,9%,9%
15:10:57,101,718M,5%,9%,9%
15:11:02,116,713M,4%,8%,8%
15:11:07,114,718M,2%,7%,7%
15:11:12,119,718M,4%,8%,8%
15:11:17,99,718M,2%,8%,8%
15:11:22,95,718M,2%,9%,9%
15:11:27,100,719M,7%,8%,8%
15:11:32,115,718M,12%,7%,7%
15:11:37,112,719M,5%,8%,8%
15:11:42,93,719M,1%,11%,11%
15:11:47,102,718M,6%,8%,8%
15:11:52,99,718M,3%,9%,9%
15:11:57,102,718M,5%,9%,9%
15:12:02,114,716M,2%,8%,8%
15:12:07,108,717M,2%,7%,7%
15:12:12,97,717M,4%,9%,9%
15:12:17,105,718M,11%,8%,8%
15:12:22,113,718M,3%,7%,7%
15:12:27,101,718M,7%,8%,8%
15:12:32,121,718M,7%,7%,7%
15:12:37,100,718M,2%,9%,9%
15:12:42,106,717M,5%,9%,9%
15:12:47,99,717M,4%,9%,9%
15:12:52,104,717M,3%,9%,9%
15:12:57,103,717M,4%,9%,9%
15:13:02,112,713M,5%,8%,8%
15:13:07,108,716M,2%,8%,8%
15:13:12,99,718M,6%,9%,9%
15:13:17,98,717M,4%,9%,9%
15:13:22,100,717M,4%,9%,9%
15:13:27,108,717M,3%,8%,8%
15:13:32,99,717M,2%,8%,8%
15:13:37,99,717M,6%,8%,8%
15:13:42,118,716M,6%,8%,8%
15:13:47,100,717M,4%,10%,10%
15:13:52,104,717M,3%,9%,9%
15:13:57,99,717M,3%,9%,9%
15:14:02,116,712M,5%,8%,8%
15:14:07,112,716M,4%,7%,7%
15:14:12,102,716M,4%,9%,9%
15:14:17,102,717M,8%,9%,9%
15:14:22,114,717M,4%,8%,8%
15:14:27,115,717M,4%,8%,8%
15:14:32,111,717M,5%,8%,8%
15:14:37,104,717M,3%,9%,9%
15:14:42,102,716M,4%,9%,9%
15:14:47,111,717M,3%,8%,8%
15:14:52,53,717M,5%,3%,3%
15:14:57,16,717M,7%,0%,0%
15:15:02,78,716M,2%,0%,0%
15:15:07,52,717M,5%,0%,0%
15:15:12,12,717M,2%,0%,0%
15:15:17,11,717M,5%,0%,0%
15:15:22,14,717M,4%,0%,0%
15:15:27,16,717M,5%,0%,0%
15:15:32,12,717M,5%,0%,0%
15:15:37,52,717M,4%,0%,0%
15:15:42,29,717M,4%,0%,0%
15:15:47,12,717M,5%,0%,0%
15:15:52,20,717M,3%,0%,0%
15:15:57,15,717M,3%,0%,0%
15:16:02,77,716M,8%,0%,0%
15:16:07,13,717M,2%,0%,0%
