timestamp,cpu,mem free,disk,eth
15:36:16,18,706M,4%,0%,0%
15:36:21,18,706M,4%,0%,0%
15:36:26,85,705M,1%,7%,7%
15:36:31,99,705M,6%,8%,8%
15:36:36,95,705M,5%,8%,8%
15:36:41,123,705M,4%,7%,7%
15:36:46,106,705M,4%,8%,8%
15:36:51,105,705M,4%,8%,8%
15:36:56,97,705M,3%,8%,8%
15:37:01,104,703M,5%,8%,8%
15:37:06,119,705M,2%,7%,7%
15:37:11,117,705M,2%,7%,7%
15:37:16,103,705M,3%,9%,9%
15:37:21,103,704M,12%,8%,8%
15:37:26,99,704M,4%,8%,8%
15:37:31,100,705M,4%,8%,8%
15:37:36,103,704M,4%,9%,9%
15:37:41,100,704M,3%,9%,9%
15:37:46,103,704M,4%,9%,9%
15:37:51,104,705M,2%,9%,9%
15:37:56,99,705M,6%,8%,8%
15:38:01,109,703M,2%,8%,8%
15:38:06,114,702M,5%,7%,7%
15:38:11,102,704M,8%,9%,9%
15:38:16,105,704M,4%,9%,9%
15:38:21,110,704M,2%,7%,7%
15:38:26,121,704M,8%,7%,7%
15:38:31,103,704M,2%,8%,8%
15:38:36,104,704M,2%,9%,9%
15:38:41,107,704M,7%,8%,8%
15:38:46,98,704M,5%,8%,8%
15:38:51,94,704M,3%,8%,8%
15:38:56,103,704M,5%,8%,8%
15:39:01,107,699M,2%,8%,8%
15:39:06,114,703M,6%,7%,7%
15:39:11,109,704M,6%,8%,8%
15:39:16,103,704M,5%,8%,8%
15:39:21,97,703M,5%,10%,10%
15:39:26,97,704M,4%,9%,9%
15:39:31,99,703M,5%,9%,9%
15:39:36,96,704M,3%,9%,9%
15:39:41,92,703M,3%,8%,8%
15:39:46,120,704M,3%,7%,7%
15:39:51,100,704M,2%,8%,8%
15:39:56,110,704M,5%,8%,8%
15:40:01,108,701M,2%,9%,9%
15:40:06,132,701M,4%,6%,6%
15:40:11,99,703M,2%,9%,9%
15:40:16,105,703M,9%,8%,8%
15:40:21,100,703M,4%,8%,8%
15:40:26,98,703M,7%,8%,8%
15:40:31,120,703M,4%,7%,7%
15:40:36,115,703M,2%,8%,8%
