timestamp,cpu,mem free,disk,eth
14:52:44,83,588M,2%,6%,6%
14:52:49,74,588M,5%,6%,6%
14:52:54,75,589M,2%,6%,6%
14:52:59,84,587M,7%,6%,6%
14:53:04,123,582M,3%,5%,5%
14:53:09,87,587M,6%,6%,6%
14:53:14,83,587M,2%,6%,6%
14:53:19,70,588M,5%,6%,6%
14:53:24,71,588M,5%,6%,6%
14:53:29,75,587M,1%,6%,6%
14:53:34,80,588M,9%,6%,6%
14:53:39,83,588M,4%,6%,6%
14:53:44,120,587M,5%,6%,6%
14:53:49,73,588M,5%,6%,6%
14:53:54,75,587M,2%,6%,6%
14:53:59,75,587M,5%,6%,6%
14:54:04,123,582M,2%,6%,6%
14:54:09,93,587M,6%,6%,6%
14:54:14,105,587M,5%,6%,6%
14:54:19,100,587M,4%,6%,6%
14:54:24,81,587M,5%,6%,6%
14:54:29,84,587M,4%,6%,6%
14:54:34,75,587M,2%,6%,6%
14:54:39,79,587M,2%,6%,6%
14:54:44,73,587M,8%,6%,6%
14:54:49,78,586M,2%,6%,6%
14:54:54,97,588M,4%,6%,6%
14:54:59,79,587M,5%,6%,6%
14:55:04,132,581M,3%,5%,6%
14:55:09,106,586M,6%,7%,7%
14:55:14,73,587M,4%,6%,6%
14:55:19,119,587M,5%,6%,6%
14:55:24,95,588M,4%,6%,6%
14:55:29,94,586M,7%,6%,6%
14:55:34,96,587M,4%,6%,6%
14:55:39,78,586M,5%,6%,6%
14:55:44,72,587M,6%,6%,6%
14:55:49,73,586M,2%,6%,6%
14:55:54,81,586M,6%,6%,6%
14:55:59,75,587M,1%,6%,6%
14:56:04,125,582M,7%,6%,6%
14:56:09,83,586M,6%,6%,6%
14:56:14,122,586M,5%,6%,6%
14:56:19,84,587M,4%,6%,6%
14:56:24,83,585M,3%,6%,6%
14:56:29,80,587M,8%,6%,6%
14:56:34,71,586M,4%,6%,6%
14:56:39,74,586M,5%,6%,6%
14:56:44,69,586M,4%,6%,6%
14:56:49,77,586M,3%,6%,6%
14:56:54,75,586M,5%,6%,6%
14:56:59,93,586M,2%,5%,5%
14:57:04,126,580M,2%,6%,6%
14:57:09,80,584M,12%,6%,6%
14:57:14,54,587M,3%,4%,4%
14:57:19,13,586M,6%,0%,0%
